rank;number;size;rarety_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
109;/109;/128;Rare Holo;Tartard;Poliwrath;ニョロボン;Pokémon;Water;62;Yuka Morii;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1171072.jpg;ecard1
110;/110;/128;Rare Holo;Crustabri;Cloyster;パルシェン;Pokémon;Water;91;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167943.jpg;ecard1
111;/111;/128;Rare Holo;Krabboss;Kingler;キングラー;Pokémon;Water;99;Shin-ichi Yoshida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/69a54920d75511e5b7d7936e35b61882/111.jpg;ecard1
112;/112;/128;Rare Holo;Aligatueur;Feraligatr;オーダイル;Pokémon;Water;160;Mitsuhiro Arita;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167962.jpg;ecard1
113;/113;/128;Rare Holo;Raichu;Raichu;ライチュウ;Pokémon;Lightning;26;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168032..jpg;ecard1
114;/114;/128;Rare Holo;Pichu;Pichu;ピチュー;Pokémon;Lightning;172;Atsuko Nishida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/2fe7f810d75d11e583dd830bc443402b/114.jpg;ecard1
115;/115;/128;Rare Holo;Pharamp;Ampharos;デンリュウ;Pokémon;Lightning;181;Atsuko Nishida;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167928.jpg;ecard1
116;/116;/128;Rare Holo;Alakazam;Alakazam;フーディン;Pokémon;Psychic;65;Hajime Kusajima;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/6c127cc0d74e11e58645d35af96fdfa8/116.jpg;ecard1
117;/117;/128;Rare Holo;Ectoplasma;Gengar;ゲンガー;Pokémon;Psychic;94;Yukiko Baba;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/07c47b50d75411e58cd8b113b0fcc336/117.jpg;ecard1
118;/118;/128;Rare Holo;Mewtwo;Mewtwo;ミュウツー;Pokémon;Psychic;150;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168006.jpg;ecard1
119;/119;/128;Rare Holo;Mew;Mew;ミュウ;Pokémon;Psychic;151;Hajime Kusajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168005.jpg;ecard1
120;/120;/128;Rare Holo;Triopikeur;Dugtrio;ダグトリオ;Pokémon;Fighting;51;Masako Yamashita;https://i1.wp.com/www.poke-spot.com/wp-content/uploads/dugtrio-jap_exp.jpg?fit=700%2C990&ssl=1;ecard1
121;/121;/128;Rare Holo;Mackogneur;Machamp;カイリキー;Pokémon;Fighting;68;Shin-ichi Yoshida;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/903b7680d75b11e58040032a58b53b9f/89.jpg;ecard1
122;/122;/128;Rare Holo;Grolem;Golem;ゴローニャ;Pokémon;Fighting;76;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167973.jpg;ecard1
123;/123;/128;Rare Holo;Roucarnage;Pidgeot;ピジョット;Pokémon;Colorless;18;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168014.jpg;ecard1
124;/124;/128;Rare Holo;Rapasdepic;Fearow;オニドリル;Pokémon;Colorless;22;Kyoko Umemoto;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167961.jpg;ecard1
125;/125;/128;Rare Holo;Mélodelfe;Clefable;ピクシー;Pokémon;Colorless;36;Kagemaru Himeno;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1167940.jpg;ecard1
126;/126;/128;Rare Holo;Dracolosse;Dragonite;カイリュー;Pokémon;Colorless;149;Kagemaru Himeno;https://d1rw89lz12ur5s.cloudfront.net/photo/collectorscache/file/a1eae6f0d75011e5a46571399f78237c/126.jpg;ecard1
127;/127;/128;Rare Holo;Tyranocif;Tyranitar;バンギラス;Pokémon;Darkness;248;Kimiya Masago;https://i0.wp.com/www.poke-spot.com/wp-content/uploads/tyranitar-holo-japanese_exp.jpg?fit=700%2C990&ssl=1;ecard1
128;/128;/128;Rare Holo;Airmure;Skarmory;エアームド;Pokémon;Metal;227;Kimiya Masago;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1168038.jpg;ecard1
