rank;number;size;rarety_type;fr_name;en_name;jap_name;super_type;energy;pokedex_number;artist;jap_url;list
99;/099;/141;Common;Ptéra de Peter;Lance's Aerodactyl;ワタルのプテラ;Pokémon;Fighting;142;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169448.jpg;ecardvs
100;/100;/141;Common;Dracolosse de Peter;Lance's Dragonite;ワタルのカイリュー;Pokémon;Colorless;149;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169450.jpg;ecardvs
101;/101;/141;Common;Pharamp de Peter;Lance's Ampharos;ワタルのデンリュウ;Pokémon;Lightning;168;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169449.jpg;ecardvs
102;/102;/141;Common;Hyporoi de Peter;Lance's Kingdra;ワタルのキングドラ;Pokémon;Water;230;Aya Kusube;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169452.jpg;ecardvs
103;/103;/141;Uncommon;CT01 d'Albert[1];Falkner's TM 01;ハヤトのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169414.jpg;ecardvs
104;/104;/141;Uncommon;CT02 d'Albert[2];Falkner's TM 02;ハヤトのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169415.jpg;ecardvs
105;/105;/141;Uncommon;CT01 d'Hector[1];Bugsy's TM 01;ツクシのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169383.jpg;ecardvs
106;/106;/141;Uncommon;CT02 d'Hector[2];Bugsy's TM 02;ツクシのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169384.jpg;ecardvs
107;/107;/141;Uncommon;CT01 de Blanche[1];Whitney's TM 01;アカネのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169496.jpg;ecardvs
108;/108;/141;Uncommon;CT02 de Blanche[2];Whitney's TM 02;アカネのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169497.jpg;ecardvs
109;/109;/141;Uncommon;CT01 de Mortimer[1];Morty's TM 01;マツバのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169468.jpg;ecardvs
110;/110;/141;Uncommon;CT02 de Mortimer[2];Morty's TM 02;マツバのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169469.jpg;ecardvs
111;/111;/141;Uncommon;CT01 de Jasmine[1];Jasmine's TM 01;ミカンのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169436.jpg;ecardvs
112;/112;/141;Uncommon;CT02 de Jasmine[2];Jasmine's TM 02;ミカンのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169437.jpg;ecardvs
113;/113;/141;Uncommon;CT01 de Chuck[1];Chuck's TM 01;シジマのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169392.jpg;ecardvs
114;/114;/141;Uncommon;CT02 de Chuck[2];Chuck's TM 02;シジマのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169393.jpg;ecardvs
115;/115;/141;Uncommon;CT01 de Frédo[1];Pryce's TM 01;ヤナギのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169478.jpg;ecardvs
116;/116;/141;Uncommon;CT02 de Frédo[2];Pryce's TM 02;ヤナギのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169479.jpg;ecardvs
117;/117;/141;Uncommon;CT01 de Sandra[1];Clair's TM 01;イブキのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169401.jpg;ecardvs
118;/118;/141;Uncommon;CT02 de Sandra[2];Clair's TM 02;イブキのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169402.jpg;ecardvs
119;/119;/141;Uncommon;CT01 de Jeannine[1];Janine's TM 01;アンズのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169426.jpg;ecardvs
120;/120;/141;Uncommon;CT02 de Jeannine[2];Janine's TM 02;アンズのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169427.jpg;ecardvs
121;/121;/141;Uncommon;CT01 de Clément[1];Will's TM 01;イツキのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169505.jpg;ecardvs
122;/122;/141;Uncommon;CT02 de Clément[2];Will's TM 02;イツキのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169506.jpg;ecardvs
123;/123;/141;Uncommon;CT01 d'Aldo[1];Bruno's TM 01;シバのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169375.jpg;ecardvs
124;/124;/141;Uncommon;CT02 d'Aldo[2];Bruno's TM 02;シバのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169376.jpg;ecardvs
125;/125;/141;Uncommon;CT01 de Marion[1];Karen's TM 01;カリンのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169442.jpg;ecardvs
126;/126;/141;Uncommon;CT02 de Marion[2];Karen's TM 02;カリンのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169443.jpg;ecardvs
127;/127;/141;Uncommon;CT01 de la Team Rocket[1];Rocket's TM 01;Ｒ団のワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169483.jpg;ecardvs
128;/128;/141;Uncommon;CT01 dePeter[1];Lance's TM 01;ワタルのワザマシン０１;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169453.jpg;ecardvs
129;/129;/141;Uncommon;CT02 dePeter[2];Lance's TM 02;ワタルのワザマシン０２;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169454.jpg;ecardvs
130;/130;/141;Common;Potion;Potion;きずぐすり;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169471.jpg;ecardvs
131;/131;/141;Common;Lait Meumeu;Moo-Moo Milk;モーモーミルク;Trainer;NoColor;;Tomokazu Komiya;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169461.jpg;ecardvs
132;/132;/141;Common;Total Soin;Full Heal;なんでもなおし;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169419.jpg;ecardvs
133;/133;/141;Common;Inversion de Pokémon;Pokémon Reverse;ポケモンリバース;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169470.jpg;ecardvs
134;/134;/141;Common;Échange;Switch;ポケモンいれかえ;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169488.jpg;ecardvs
135;/135;/141;Common;Point d'échange;Warp Point;ワープポイント;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169489.jpg;ecardvs
136;/136;/141;Common;Super Rappel;Super Scoop Up;スーパーポケモン回収;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169487.jpg;ecardvs
137;/137;/141;Common;Flux d'Énergie;Energy Flow;エネルギーサーキュレート;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169405.jpg;ecardvs
138;/138;/141;Common;Charge d'Énergie;Energy Charge;エネルギーチャージ;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169404.jpg;ecardvs
139;/139;/141;Common;Arche d'Énergie;Energy Ark;エネルギーアーク;Trainer;NoColor;;"""Big Mama"" Tagawa";https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169403.jpg;ecardvs
140;/140;/141;Common;Restauration d'Énergie;Energy Restore;エネルギー再生;Trainer;NoColor;;Hideyuki Nakajima;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169406.jpg;ecardvs
141;/141;/141;Common;Master Ball;Master Ball;マスターボール;Trainer;NoColor;;Keiji Kinebuchi;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169458.jpg;ecardvs
142;/142;/141;Secret;Tyranocif de la Team Rocket;Rocket's Tyranitar;Ｒ団のバンギラス;Pokémon;Darkness;248;Hiromichi Sugiyama;https://cdn.bulbagarden.net/upload/2/24/RocketTyranitarVS142.jpg;ecardvs
143;;;;Énergie Plante;Grass Energy;草エネルギー;Energy;NoColor;;None;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169420.jpg;ecardvs
144;;;;Énergie Feu;Fire Energy;炎エネルギー;Energy;NoColor;;None;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169418.jpg;ecardvs
145;;;;Énergie Eau;Water Energy;水エネルギー;Energy;NoColor;;None;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169490.jpg;ecardvs
146;;;;Énergie Électrique;Lightning Energy;雷エネルギー;Energy;NoColor;;None;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169455.jpg;ecardvs
147;;;;Énergie Psy;Psychic Energy;超エネルギー;Energy;NoColor;;None;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169480.jpg;ecardvs
148;;;;Énergie Combat;Fighting Energy;闘エネルギー;Energy;NoColor;;None;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1169417.jpg;ecardvs
149;;;;Énergie Obscurité;Darkness Energy;悪エネルギー;Energy;NoColor;;None;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1106425.jpg;ecardvs
150;;;;Énergie Métal;Metal Energy;鋼エネルギー;Energy;NoColor;;None;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148522.jpg;ecardvs
151;;;;Énergie Multicolore;Rainbow Energy;レインボーエネルギー;Energy;NoColor;;None;https://52f4e29a8321344e30ae-0f55c9129972ac85d6b1f4e703468e6b.ssl.cf2.rackcdn.com/products/pictures/1148543.jpg;ecardvs
